,Month,Enquiry Date,Enquiry Id,Allocation Status,Status,State,City,Pincode,Type of Project,No of Windows,Source,Zone,Dealer Name,First Action-Call made,Date DD/MM/YY,First Action-Call Status,Date of Appointment (DD/MM/YY),Second Action-Customer Meeting,Date DD/MM/YY.1,Second Action-Call Status,Third Action-Quote Given,Date DD/MM/YY.2,Q Val. (Rs. Lac),Quote QTY, Order Recd\Lost ,Date DD/MM/YY.3,Order Val. (Rs. Lac),Order QTY,Quote ID (as per match to CCC Records), Remarks-Brand and value if lost to UPVC ,Second Action-Call Status.1,Remarks,Price Per Sft,Benefits,Aesthetics,Reduce Street Noise,Low Maintenance,Monsoon Proof,Better Lighting,Reduce AC Energy Cost
0,April'16,02-Apr-16,EC02041646800,Dealer,Won,TAMILNADU,CHENNAI,600008,Renovation,6 to 10,Friends or Family  ,Chennai,Sunbird,Yes,02-Apr-16,Appointment Fixed,04-Apr-16,yes,05-Apr-16,Quote to Be Submitted,yes,06-Apr-16,0.72,3,Order Received,19-Aug-16,0.54,3.0,SPN58634,won,,,1105,Aesthetics & Street Noise,1.0,1.0,0.0,0.0,0.0,0.0
1,April'16,08-Apr-16,EC08041647157,Dealer,Lost,TAMILNADU,CHENNAI,600042,New Construction,6 to 10,Just dial,Chennai,Winfratech,Yes,08-Apr-16,Appointment Fixed,09-Apr-16,yes,10-Apr-16,Further Meeting Required,,,,,Lost to Aluminum,,,,,Budget constraint,,Price Issue,985,,,,,,,
2,April'16,08-Apr-16,EC08041647130,Dealer,Lost,TAMILNADU,CHENNAI,600015,New Construction,1 to 5,Current User,Chennai,Sunbird,Yes,09-Mar-16,Appointment Fixed,10-Mar-16,yes,11-Apr-16,Quote to Be Submitted,yes,12-Apr-16,8.4,42,Delivery Time Not Possible,,,,,follow up,,Delivery Issue,918,,,,,,,
3,April'16,09-Apr-16,EC09041647202,Direct,Lost,TAMILNADU,KANCHIPURAM,600075,New Construction,21 to 40,Friends or Family  ,Chennai,Direct,Yes,09-Apr-16,Appointment Fixed,10-Apr-16,yes,11-Apr-16,Quote to Be Submitted,yes,12-Apr-16,2.0,9,Lost to Aluminum,,,,no response,,,Price Issue,919,,,,,,,
4,April'16,11-Apr-16, EC11041647360,Direct,Won,TAMILNADU,CHENNAI,600041,Renovation,6 to 10,Internet,Chennai,Sunbird,Yes,11-Apr-16,Appointment Fixed,11-Apr-16,yes,13-Apr-16,Quote to Be Submitted,yes,15-Apr-16,1.63,8,Order Received,21-May-16,1.63,8.0,SPN43642,follow up,,,1350,Reduce AC Energy Cost,0.0,0.0,0.0,0.0,0.0,1.0
5,April'16,11-Apr-16,EC11041647280,Dealer,Lost,TAMILNADU,CHENNAI,600056,Renovation,1 to 5,Friends or Family  ,Chennai,Rajtechnis,Yes,11-Apr-16,Appointment Fixed,12-Apr-16,yes,13-Apr-16,Quote to Be Submitted,yes,15-Apr-16,,,Lost to UPVC (Provide details),,,,,,,Price Issue,809,,,,,,,
6,April'16,12-Apr-16, EC12041647460,Dealer,Lost,TAMILNADU,CHENNAI,600042,New Construction,11 to 20,Just dial,Chennai,Sunbird,Yes,12-Apr-16,Budget Constraint,,,,,,,,,Lost to Wooden,,,,,,,Budget Constraint,1152,,,,,,,
7,April'16,12-Apr-16,EC12041647402,Dealer,Lost,TAMILNADU,VELLORE,635751,Renovation,6 to 10,Just dial,Chennai,Windoors,Yes,12-Apr-16,Appointment Fixed,12-Apr-16,YES,13-Apr-16,Quote to Be Submitted,yes,14-Apr-16,2.14,9,Lost to Wooden,,,,,lost,,,826,,,,,,,
8,April'16,14-Apr-16,EC13041647531,Dealer,Lost,TAMILNADU,CHENNAI,600006,Renovation,1 to 5,Just dial,Chennai,Sunbird,Yes,15-Apr-16,Budget Constraint,,,,,,,,,Lost to UPVC (Provide details),,,,,,,Budget Constraint,1089,,,,,,,
9,April'16,15-Apr-16,EC15041647749,Dealer,Lost,TAMILNADU,CHENNAI,600113,New Construction,6 to 10,Friends or Family  ,Chennai,Sunbird,Yes,15-Apr-16,Appointment Fixed,16-Apr-16,yes,17-Apr-16,Quote to Be Submitted,yes,18-Apr-16,1.86,10,Lost to Wooden,,,,,lost,,Price Issue,921,,,,,,,
